City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,5.52,86,100,3.9,SJ,1690331502
1,piti village,13.4626,144.6933,30.03,87,20,5.14,GU,1690331503
2,ribeira grande,38.5167,-28.7,20.99,85,7,1.79,PT,1690331503
3,iqaluit,63.7506,-68.5145,5.85,86,100,2.57,CA,1690331503
4,nar'yan-mar,67.6713,53.087,16.06,77,42,1.7,RU,1690331504
5,blackmans bay,-43.0167,147.3167,14.29,65,100,3.8,AU,1690331504
6,tiksi,71.6872,128.8694,5.09,80,95,3.63,RU,1690331504
7,bredasdorp,-34.5322,20.0403,7.16,74,88,0.74,ZA,1690331505
8,port-aux-francais,-49.35,70.2167,3.56,84,100,11.9,TF,1690331506
9,howrah,22.5892,88.3103,28.0,89,75,2.06,IN,1690331506
10,nemuro,43.3236,145.575,18.25,95,76,1.93,JP,1690331448
11,holualoa,19.6228,-155.9522,26.91,80,100,3.6,US,1690331507
12,badger,64.8,-147.5333,27.99,51,75,4.12,US,1690331507
13,edinburgh of the seven seas,-37.0676,-12.3116,11.23,61,100,9.06,SH,1690331508
14,cabedelo,-6.9811,-34.8339,23.37,82,72,5.17,BR,1690331508
15,martil,35.6166,-5.2752,25.98,44,0,8.23,MA,1690331509
16,la passe,45.5549,-0.8967,16.66,79,67,2.34,FR,1690331509
17,puerto natales,-51.7236,-72.4875,-1.79,90,83,2.22,CL,1690331509
18,vila franca do campo,37.7167,-25.4333,21.23,82,14,1.27,PT,1690331509
19,sao joao da barra,-21.6403,-41.0511,23.05,89,62,7.53,BR,1690331510
20,kaysville,41.0352,-111.9386,35.0,26,0,3.6,US,1690331510
21,isafjordur,66.0755,-23.124,6.42,83,76,3.74,IS,1690331510
22,queenstown,-31.8976,26.8753,9.05,20,100,2.26,ZA,1690331510
23,hami,42.8,93.45,31.81,12,0,5.27,CN,1690331511
24,ust-nera,64.5667,143.2,19.54,56,53,1.48,RU,1690331511
25,albany,42.6001,-73.9662,22.36,86,98,1.61,US,1690331481
26,okhotsk,59.3833,143.3,17.49,74,100,3.74,RU,1690331511
27,kolonia town,6.964,158.206,27.06,89,100,2.57,FM,1690331512
28,talnakh,69.4865,88.3972,17.34,55,0,0.47,RU,1690331513
29,soio,-6.1349,12.3689,21.31,83,0,1.41,AO,1690331513
30,margaret river,-33.95,115.0667,11.46,76,100,8.16,AU,1690331513
31,hawaiian paradise park,19.5933,-154.9731,28.18,78,100,4.63,US,1690331514
32,puerto ayora,-0.7393,-90.3518,25.31,92,41,3.13,EC,1690331514
33,choyr,46.3611,108.3611,19.11,52,43,4.92,MN,1690331514
34,meulaboh,4.1363,96.1285,25.47,87,53,1.66,ID,1690331514
35,waitangi,-43.9535,-176.5597,9.34,98,100,0.89,NZ,1690331487
36,adamstown,-25.066,-130.1015,23.26,82,100,16.8,PN,1690331515
37,tucurui,-3.7661,-49.6725,26.82,51,88,0.11,BR,1690331515
38,manokwari,-0.8667,134.0833,28.27,71,18,0.84,ID,1690331515
39,yellowknife,62.456,-114.3525,25.31,25,75,8.05,CA,1690331516
40,bethel,41.3712,-73.414,21.05,88,75,0.0,US,1690331516
41,georgetown,5.4112,100.3354,27.96,93,20,1.03,MY,1690331230
42,itacare,-14.2775,-38.9967,21.44,89,12,0.92,BR,1690331517
43,grytviken,-54.2811,-36.5092,-3.3,84,74,4.08,GS,1690331517
44,west island,-12.1568,96.8225,24.99,69,40,9.26,CC,1690331517
45,remire-montjoly,4.9167,-52.2667,26.02,94,20,0.0,GF,1690331517
46,timmins,48.4669,-81.3331,22.9,46,75,2.57,CA,1690331518
47,soc trang,9.6033,105.98,27.16,85,100,4.45,VN,1690331519
48,ushuaia,-54.8,-68.3,0.81,64,75,3.09,AR,1690331234
49,susuman,62.7833,148.1667,16.7,68,100,2.59,RU,1690331519
50,chrysoupolis,40.9856,24.6939,27.72,61,0,0.93,GR,1690331520
51,alofi,-19.0595,-169.9187,23.94,64,40,3.6,NU,1690331520
52,alenquer,-1.9417,-54.7383,26.01,58,24,0.63,BR,1690331521
53,papatowai,-46.5619,169.4708,7.77,75,29,5.37,NZ,1690331521
54,amga,60.8953,131.9608,24.22,37,5,2.88,RU,1690331522
55,luanda,-8.8368,13.2343,22.0,83,75,3.6,AO,1690331522
56,lebu,-37.6167,-73.65,9.6,84,9,0.33,CL,1690331523
57,loen,7.7601,168.2307,28.49,78,100,5.17,MH,1690331523
58,athol,42.5959,-72.2268,22.33,88,100,4.12,US,1690331523
59,alpine,32.835,-116.7664,37.59,41,0,3.6,US,1690331524
60,whitehorse,60.7161,-135.0538,24.45,45,75,0.89,CA,1690331524
61,muli,2.9167,73.5667,28.18,78,84,4.56,MV,1690331524
62,college,64.8569,-147.8028,28.04,55,75,4.12,US,1690331525
63,saipan,15.1355,145.701,28.14,100,100,4.63,MP,1690331455
64,thompson,55.7435,-97.8558,22.09,43,40,5.66,CA,1690331525
65,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,68,20,2.0,RU,1690331525
66,kodiak,57.79,-152.4072,17.73,68,0,4.12,US,1690331526
67,port alfred,-33.5906,26.891,14.96,45,0,3.44,ZA,1690331526
68,nova sintra,14.8667,-24.7167,22.48,87,71,6.52,CV,1690331526
69,invercargill,-46.4,168.35,7.86,76,54,5.8,NZ,1690331292
70,sarandi del yi,-33.35,-55.6333,12.22,96,100,6.29,UY,1690331527
71,port mathurin,-19.6833,63.4167,23.23,78,12,6.67,MU,1690331527
72,nkowakowa,-23.8878,30.2871,15.2,77,100,1.36,ZA,1690331528
73,hermantown,46.8069,-92.2383,29.38,72,0,3.09,US,1690331528
74,richfield,44.8833,-93.283,31.97,57,100,4.63,US,1690331528
75,tolanaro,-25.0319,46.9987,20.04,68,40,5.14,MG,1690331528
76,uturoa,-16.7333,-151.4333,26.87,81,23,7.07,PF,1690331528
77,natal,-5.795,-35.2094,24.36,83,0,3.6,BR,1690331529
78,fort bragg,35.139,-79.006,32.32,62,0,1.54,US,1690331529
79,port augusta,-32.5,137.7667,14.97,45,0,2.15,AU,1690331530
80,kadirli,37.3739,36.0961,24.47,48,0,2.56,TR,1690331530
81,stanley,54.868,-1.6985,12.38,94,75,1.54,GB,1690331530
